p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,cell_type
1.96695765382011e-218,-4.96293776055117,0.053,0.718,4.17447422870242e-214,IFIT3,B_cell
2.66648214524019e-217,-5.80065118808874,0.051,0.701,5.65907505684325e-213,IFI44L,B_cell
8.90850999932093e-199,-4.73189191931333,0.193,0.893,1.89065307715588e-194,ISG15,B_cell
1.56541270493176e-198,-4.57062971533717,0.136,0.831,3.32227538367668e-194,XAF1,B_cell
1.76794909042289e-182,-4.81011086785188,0.122,0.773,3.7521183546045e-178,IFI6,B_cell
2.94993216781834e-177,-4.31728873905167,0.127,0.773,6.26064103976086e-173,COL6A3,B_cell
3.32174292298196e-176,-5.65198514675474,0.024,0.526,7.04973500544461e-172,IFIT1,B_cell
1.34077735507361e-157,-3.90528913794595,0.155,0.773,2.84553178067272e-153,MX2,B_cell
1.18122039097796e-153,1.46992163537522,0.999,0.945,2.50690403577252e-149,RPS3A,B_cell
1.05923789288163e-151,-4.64256396329142,0.317,0.877,2.24802058006268e-147,IFITM1,B_cell
5.32808161259755e-143,-7.04948822207554,0.008,0.38,1.13077876064158e-138,USP18,B_cell
5.87543395855298e-139,-5.60027351043747,0.016,0.409,1.2469433490237e-134,CMPK2,B_cell
1.86354836807768e-135,-6.12298311557048,0.014,0.396,3.95500870157126e-131,HIST2H2AA4,B_cell
3.55405499700249e-130,-3.39296251085188,0.254,0.808,7.54277092013837e-126,MX1,B_cell
3.27425715463036e-127,-3.11638250495032,0.472,0.89,6.94895595927201e-123,LY6E,B_cell
1.14668755663792e-123,-6.617160670962,0.011,0.351,2.43361500145265e-119,SNHG25,B_cell
1.17442856129805e-123,0.990213314487504,0.998,0.981,2.49248973564285e-119,RPS8,B_cell
1.26595327622663e-120,1.00877313151928,0.998,0.981,2.68673263813577e-116,RPL10,B_cell
4.14977235011156e-120,-3.45808553738644,0.133,0.659,8.80706185864175e-116,OAS1,B_cell
3.10601208640574e-116,-3.02997113241236,0.351,0.831,6.5918894509789e-112,IRF7,B_cell
5.48594014301075e-116,1.22999768240056,0.999,0.961,1.16428107655117e-111,RPL3,B_cell
2.18396155416393e-115,-3.60494633384388,0.131,0.643,4.6350216064021e-111,SAMD9L,B_cell
2.61746131259937e-115,0.910727471759104,0.999,0.99,5.55503814372964e-111,RPL13,B_cell
4.32979293201681e-113,-3.72859270244252,0.134,0.633,9.18911953961927e-109,EPSTI1,B_cell
2.43390965586187e-112,1.09647690111178,0.998,0.912,5.16548646263565e-108,RPL9,B_cell
5.3805677880805e-111,-3.66530462298513,0.11,0.597,1.14191790166432e-106,PLSCR1,B_cell
5.67691504459177e-110,0.907228482363723,0.999,0.968,1.20481167991371e-105,RPS27A,B_cell
7.28822836152827e-109,-5.01185911789563,0.025,0.38,1.54678070516715e-104,IFI44,B_cell
8.77223312467702e-109,0.947200579012873,0.999,0.942,1.8617310360502e-104,RPL18,B_cell
7.23150784319865e-108,-3.5651135263875,0.213,0.701,1.53474290956205e-103,CORO1B,B_cell
2.62860659004269e-107,0.901089932489805,1,0.994,5.5786917660476e-103,EEF1A1,B_cell
1.8978660711977e-106,0.98870536951829,0.998,0.968,4.02784116290287e-102,RPL21,B_cell
2.36374149047499e-105,-6.12761862676307,0.011,0.308,5.01656856523507e-101,RSAD2,B_cell
2.11112246642166e-103,-3.11911712341231,0.214,0.708,4.48043521048669e-99,SP110,B_cell
7.94937011820405e-101,1.00896684824143,0.998,0.942,1.68709482018644e-96,RPS6,B_cell
3.00390882255453e-97,-3.32449576985755,0.158,0.63,6.37519569410748e-93,EIF2AK2,B_cell
2.51619598755353e-92,-3.08276897029921,0.336,0.76,5.34012274438487e-88,IFITM3,B_cell
7.32247991618983e-92,-1.9169269249607,0.848,0.886,1.55404991261297e-87,RPS10,B_cell
3.2154476678562e-89,-3.32648655831418,0.218,0.659,6.8241445854912e-85,UBE2L6,B_cell
4.56138281943537e-88,1.13227738417745,0.992,0.864,9.68062275768769e-84,RPL27,B_cell
2.62347975162451e-87,-2.7099607223778,0.304,0.734,5.5678110768727e-83,BST2,B_cell
1.37096029990389e-86,-3.36341888706234,0.15,0.584,2.90958904448602e-82,STAT1,B_cell
2.63455301722183e-86,0.967027796627289,0.998,0.906,5.59131186844988e-82,RPS4X,B_cell
1.32706555211667e-85,0.809099311876235,0.999,0.942,2.8164312212572e-81,RPS13,B_cell
2.48229372494745e-85,-3.94275352812765,0.065,0.435,5.26817197245598e-81,HERC5,B_cell
3.18009455612557e-85,0.792241954382222,0.998,0.955,6.7491146764653e-81,RPS15A,B_cell
4.47323663457656e-85,0.742228935962142,0.998,0.968,9.49355010956183e-81,RPL37,B_cell
1.34104470793408e-84,0.810401036039469,0.998,0.929,2.84609918364849e-80,RPL35A,B_cell
3.17333862295418e-83,0.839951876007141,0.997,0.955,6.73477655949565e-79,RPS5,B_cell
7.4022207322104e-83,-3.65262252616338,0.066,0.435,1.57097330599701e-78,TNFSF10,B_cell
4.40133732955532e-80,0.808610202321898,0.997,0.929,9.34095821451525e-76,RPS7,B_cell
7.1635558008186e-80,0.724602091150914,0.999,0.961,1.52032144760773e-75,RPS23,B_cell
1.71597640855157e-79,2.28937815582472,0.971,0.834,3.641816731869e-75,RPS26,B_cell
2.89910248692959e-77,-3.22341813060579,0.11,0.503,6.15276520801067e-73,ZBP1,B_cell
5.32207709931726e-77,0.894819276920132,0.997,0.912,1.1295044227881e-72,RPL10A,B_cell
6.9573426398148e-77,0.841386935094302,0.999,0.974,1.4765568284479e-72,RPS14,B_cell
9.22861944616684e-77,-3.20637042792446,0.123,0.519,1.95858990505999e-72,IFI35,B_cell
1.31959762852294e-76,2.31288009249876,0.929,0.653,2.80058204701424e-72,EZR,B_cell
1.6959517234919e-76,0.786750801361735,0.999,0.974,3.59931834276687e-72,RPS3,B_cell
2.21787501082548e-76,0.794391094049323,0.998,0.974,4.70699613547491e-72,TPT1,B_cell
3.56516794426369e-76,-2.33359577162031,0.378,0.766,7.56635592811082e-72,HLA-DQA2,B_cell
6.11131842201268e-74,-3.31378786283512,0.091,0.461,1.29700510870375e-69,OAS2,B_cell
8.03433038609968e-74,-6.53017636851827,0.003,0.192,1.70512593784194e-69,AC145212.2,B_cell
3.10501398452764e-73,-2.59785543872487,0.58,0.782,6.58977117936301e-69,PTPRCAP,B_cell
3.12311892132126e-73,2.31321195545705,0.875,0.477,6.6281952867201e-69,LRRFIP1,B_cell
1.27494570545666e-72,3.72720429355455,0.692,0.107,2.70581727069068e-68,KDM6B,B_cell
2.13248678628524e-72,1.51322638252187,0.973,0.763,4.52577670653316e-68,TAGLN2,B_cell
4.27449830406779e-72,-2.13994145967855,0.546,0.812,9.07176775072307e-68,IFITM2,B_cell
5.66646162113061e-72,0.664323492880637,0.999,0.99,1.20259314985255e-67,RPL18A,B_cell
1.0726293517199e-71,-2.17929884457113,0.445,0.782,2.27644127315514e-67,TRIM22,B_cell
1.72330812612382e-71,1.08807235635274,0.994,0.815,3.65737683607258e-67,PABPC1,B_cell
9.03124494435254e-71,0.880716365121677,0.997,0.912,1.91670111453994e-66,RPL5,B_cell
3.91355492795647e-70,1.00684956562066,0.996,0.87,8.30573762360202e-66,EEF1B2,B_cell
4.91535714609526e-70,-3.25441999184804,0.086,0.442,1.0431862471158e-65,TRAPPC5,B_cell
2.12873038232573e-69,0.659943857253253,0.998,0.964,4.51780449040989e-65,RPLP2,B_cell
1.02015561312014e-68,-1.38219421934193,0.81,0.916,2.16507625772487e-64,ISG20,B_cell
2.35892180074301e-68,-0.890300367693166,0.988,0.994,5.0063397377169e-64,HLA-A,B_cell
3.38973322131905e-68,0.625966137599464,1,1,7.19403081560541e-64,MT-CO3,B_cell
7.34335712787116e-68,0.708887042242518,0.999,0.981,1.5584806832481e-63,MT-CYB,B_cell
1.34969522330848e-67,0.978570800748993,0.992,0.86,2.86445817242758e-63,RPL4,B_cell
